ɑ
ア
「あ」に「え」が加わった長めの音	
くちびるを横に引っ張り、長めに発音する。
#単語データ
B02001,octopus,ˈɑktəpəs,名詞,タコ
B02002,on,ɑn,前置詞,～の上に
B02003,honesty,ˈɑnəsti,名詞,正直、誠実さ
B02004,of,ɑv,前置詞,～の中の
B02005,body,ˈbɑdi,名詞,体、肉体
B02006,box,bɑks,名詞,箱
B02007,bomb,bɑm,名詞,爆弾
B02008,borrow,ˈbɑrou,動詞,借りる
B02009,bottle,ˈbɑtl,名詞,びん
B02010,block,blɑk,名詞,1区画、ブロック
B02011,blossom,ˈblɑsəm,名詞,花
B02012,doctor,ˈdɑktər,名詞,医者
B02013,dollar,ˈdɑlər,名詞,ドル（貨幣単位）
B02014,o'clock,əˈklɑk,副詞,～時
B02015,upon,əˈpɑn,前置詞,～の上に （on と同義）
B02016,atomic,əˈtɑmik,形容詞,原子（力）の
B02017,fox,fɑks,名詞,キツネ
B02018,forgot,fərˈgɑt,動詞,forget の過去形・過去分詞
B02019,hot,hɑt,形容詞,熱い、暑い
B02020,what,hwɑt,代名詞,何
B02021,impossible,imˈpɑsəbl,形容詞,不可能な
B02022,common,ˈkɑmən,名詞,共通の
B02023,comic,ˈkɑmik,名詞,漫画
B02024,concert,ˈkɑnsərt,名詞,演奏会
B02025,content,ˈkɑntent,名詞,内容
B02026,costume,ˈkɑstjuːm,名詞,衣装
B02027,lock,lɑk,動詞,かぎをかける
B02028,lot,lɑt,名詞,たくさん、とても
B02029,mom,mɑm,名詞,ママ、お母さん
B02030,knock,nɑk,動詞,ノックする
B02031,not,nɑt,副詞,～でない、～しない
B02032,pocket,ˈpɑkət,名詞,ポケット
B02033,popular,ˈpɑpjələr,形容詞,人気のある
B02034,possible,ˈpɑsəbl,形容詞,可能な
B02035,pot,pɑt,名詞,鉢、つぼ
B02036,positive,ˈpɑzətiv,形容詞,積極的な
B02037,rock,rɑk,名詞,ロック（音楽）
B02038,soccer,ˈsɑkər,名詞,サッカー
B02039,solve,sɑlv,動詞,解決する、解く
B02040,sorry,ˈsɑri,形容詞,すまなく思っている
B02041,Scotland,ˈskɑtlənd,名詞,スコットランド
B02042,stop,stɑp,動詞,やめる
B02043,top,tɑp,形容詞,一番上の、トップの
B02044,technology,tekˈnɑlədʒi,名詞,科学技術
B02045,was,wɑz,動詞,～でした、～だった
