ʌ
アッ（くらい「あ」）
リラックスしてあまり口を開けずに、喉の奥の方で短く鋭く「あ」と発音する。
#単語データ
B03001,begun,biˈgʌn,動詞,begin の過去分詞
B03002,become,biˈkʌm,動詞,～になる
B03003,bus,bʌs,名詞,バス
B03004,but,bʌt,接続詞,しかし
B03005,discover,diˈskʌvər,動詞,発見する
B03006,above,əˈbʌv,前置詞,～の上に、基準を超えて
B03007,adult,əˈdʌlt,名詞,大人、成人
B03008,another,əˈnʌðər,形容詞,もう1つの
B03009,from,frʌm,前置詞,～から、～出身の
B03010,front,frʌnt,名詞/形容詞,前（の）、前方（の）
B03011,fun,fʌn,名詞,おもしろいこと、楽しさ
B03012,funny,ˈfʌni,形容詞,こっけいな、おかしい
B03013,hunt,hʌnt,動詞,探す
B03014,enough,iˈnʌf,形容詞,十分な
B03015,luck,lʌk,名詞,幸運
B03016,lunch,lʌntʃ,名詞,昼食、弁当
B03017,love,lʌv,動詞,愛する、～が大好きである
B03018,month,mʌnθ,名詞,月、ひと月
B03019,must,mʌst,助動詞,～しなければならない
B03020,much,mʌtʃ,副詞,たいへん、大いに、とても
B03021,plus,plʌs,前置詞,～を加えて
B03022,public,ˈpʌblik,形容詞,公共の
B03023,punish,ˈpʌniʃ,動詞,罰する
B03024,result,riˈzʌlt,名詞,結果
B03025,rough,rʌf,形容詞,荒々しい
B03026,run,rʌn,動詞,走る、走って行く
B03027,rush,rʌʃ,動詞,勢いよく走る
B03028,study,ˈstʌdi,動詞,勉強する、研究する
B03029,stuff,stʌf,名詞,もの
B03030,subject,ˈsʌbdʒikt,名詞,教科
B03031,sudden,ˈsʌdn,形容詞,突然の
B03032,suddenly,ˈsʌdnli,副詞,突然、いきなり
B03033,some,sʌm,形容詞,いくつかの
B03034,summer,ˈsʌmər,名詞,夏
B03035,somewhere,ˈsʌmˌhweər,副詞,どこかで、どこかに
B03036,someone,ˈsʌmwʌn,代名詞,誰か
B03037,son,sʌn,名詞,息子
B03038,Sunday,ˈsʌnˌdei,名詞,日曜日
B03039,sunny,ˈsʌni,形容詞,日の照っている、晴れた
B03040,sunset,ˈsʌnˌset,名詞,日没
B03041,such,sʌtʃ,形容詞,そのような
B03042,other,ˈʌðər,形容詞,もう1つの、別の
B03043,um,ʌm,間投詞,うーん
B03044,under,ˈʌndər,前置詞,～の下に
B03045,uncle,ˈʌŋkl,名詞,おじ
B03046,up,ʌp,副詞,上へ、上の方へ
B03047,us,ʌs,代名詞,私たちを、私たちに
B03048,one,wʌn,名詞,1つ
B03049,won,wʌn,動詞,winの過去形・過去分詞
B03050,once,wʌns,副詞,一度
