æ	
ェア	
「あ」に「え」が加わった長めの音	
くちびるを横に引っ張り、長めに発音する。
#単語データ
B01001,add,æd,動詞,加える、（数値を）足す
B01002,after,ˈæfˌtər,前置詞,～のあとに（の）、～以降に
B01003,accident,ˈæksədənt,名詞,事故、災難、偶然の出来事
B01004,action,ˈækʃən,名詞,動作
B01005,act,ækt,動詞,行動する
B01006,actor,ˈæktər,名詞,俳優
B01007,actually,ˈæktʃuəli,副詞,実際に（は）、実は、本当に
B01008,album,ˈælbəm,名詞,アルバム
B01009,am,æm,動詞,ある、いる
B01010,ambulance,ˈæmbjələns,名詞,救急車
B01011,and,ænd,接続詞,～と～、～そして～
B01012,animal,ˈænəməl,名詞,動物
B01013,anime,ˈæniˌmei,名詞,アニメ
B01014,answer,ˈænsər,動詞,答える
B01015,ancestor,ˈænsestər,名詞,祖先、先祖
B01016,aunt,ænt,名詞,おば
B01017,angry,ˈæŋgri,形容詞,怒った
B01018,app,æp,名詞,アプリ
B01019,apple,ˈæpəl,名詞,リンゴ
B01020,ask,æsk,動詞,尋ねる
B01021,astronaut,ˈæstrəˌnɔːt,名詞,宇宙飛行士
B01022,at,æt,前置詞,～に
B01023,attitude,ˈætəˌtyuːd,名詞,態度、心構え
B01024,banana,bəˈnænə,名詞,バナナ
B01025,began,biˈgæn,動詞,begin の過去形
B01026,disaster,diˈzæstər,名詞,災害、惨事
B01027,Japan,dʒəˈpæn,名詞,日本
B01028,attract,əˈtrækt,動詞,引きつける
B01029,hamburger,ˈhæmˌbəːrgər,名詞,ハンバーガー
B01030,handout,ˈhændˌɑut,名詞,プリント
B01031,has,hæz,動詞,have の三人称・単数・現在形
B01032,exactly,igˈzæktli,副詞,正確に、そのとおりです
B01033,exam,igˈzæm,名詞,試験
B01034,example,igˈzæmpl,名詞,例、実例
B01035,imagine,iˈmædʒin,動詞,想像する
B01036,international,ˌintərˈnæʃənəl,形容詞,国際的な
B01037,laugh,læf,動詞,笑う
B01038,lack,læk,名詞,不足、欠乏
B01039,land,lænd,動詞,着陸する
B01040,last,læst,形容詞,（時間的に） この前の、 最近の
B01041,man,mæn,名詞,男性、男の人
B01042,map,mæp,名詞,地図
B01043,match,mætʃ,名詞,試合
B01044,math,mæθ,名詞,数学
B01045,perhaps,pərˈhæps,副詞,たぶん、おそらく
B01046,piano,piˈænou,名詞,ピアノ
B01047,reality,riˈæləti,名詞,現実
B01048,relax,riˈlæks,動詞,くつろぐ
B01049,salad,ˈsæləd,名詞,サラダ
B01050,understand,ˌʌndərˈstænd,動詞,理解する
